categories,review
"['difficulty', 'graphics', 'music', 'story', 'price', 'requirements', 'length', 'fun', 'replayability', 'worth buying', 'specs']",difficulty  my 90 year old grandma could play it  easy  normal  hard  dark souls graphics  ms paint  bad  meh  graphics dont matter in this game  good  beautiful  masterpiece music  bad  not special  good  beautiful story  this game has no story  like playing temple runners for the story  it 's there for the people who want it  well written  epic story  imagine kingdom hearts but on crack price  free  underpriced  perfect price  could be cheaper  overpriced  complete waste of money requirements  you can run it on a microwave  average  high end  nasa computer length  very short (0 2 hours  short (2 15 hours  average (15-50 hours  long (50-90 hours  extremely long (90-110 hours  no ending fun  i 'd rather watch paint dry  hard to enjoy  repetitive  actually pretty amusing  the kind of fun you 'll remember  ride of your life replayability  it 's a one -time experience  only for achievements  if you wait a few months /years  definitely  infinitely replayable worth buying  no  wait for sale  yes specs intel core i99900k unlocked rog srix geforce gtx 1080 4x corsair vengeance pro 8gb (32gb total nzxt x42 water cooler samsung evo plus 970 lincoln
"['combat', 'storyline', 'graphics', 'difficulty', 'exploration', 'character', 'series', 'optimization', 'movement', 'music']","assassin's creed iv black flag  100 completion 151 hours of playtime the good ship combat is absolutely fantastic dual sword gameplay is fun and badass regular assassin 's creed gameplay has been improved by the swashbuckling fighting style with added multi -shot guns fun customization with over 15 skins to choose from some that have special buffs you must earn by doing quests which i enjoyed a lot suprisingly good and tragic story of edward kenway who 's a likeable and complex character as complex as you 'll get in an ac game beautiful big world full of adventures cities and ruins good story missions difficult assassinations legendary ship battles are easily the most challenging and fun parts of the entire game nice ship customization and the amount of upgrades for both the jackdaw 's arsenal and kenway 's gear is great very good visual fidelity for its release date especially the sunsets storms and nights i loved sailing into the open sea on full mast the eh your ship gets reaaaally overpowered i can take down level 60 man -o'-war's in 20 seconds trailing missions f u c k y o u the ui is just bad not bad enough to be put on 'the bad list but like it was designed in 2009 aciii had a better looking ui than aciv while there is little to no replayability i 'm still inexplicably drawn to the ocean treasure chests are cool at first but get tedious real fast the bad the whole 'edward's crew gimmick is really just badly executed i could get what they 're going for but it looks and plays like it was added in at the last second i don 't care about the present -day storyline at all i don 't care about the god -awful boardgames at all getting the little treasure chests on each little island where you have to swim to the island and back every time gets suicidally mind -numbing. 80 /100, worth full price for the sheer amount of entertaining content"
"['series', 'assassin theme']",in my opinion the best assassins creed in the series
"['pirate theme', 'combat', 'exploration', 'entertainment value']",this games amazing all the pirate glory you could hope for i 'm not a huge fan of the ac series and this has some of the flaw of the previous games however the carribean setting is fun and beautiful and all the unique features make this game a cut above the others +ship to ship combat +boarding combat +whaling +treasure hunting +diving for lost treasures +fleet management and trading +sea shanties all of these features combine for a fun and immersive experience they thought of everything
"['pirate theme', 'series', 'combat', 'exploration', 'graphics', 'storyline', 'entertainment value']","arrr ye pirates assassin 's creed iv black flag feels slightly different than the other ac titles why 's that well first of all the main components are still the same you 're playing as edward kenway a pirate which ends up being involved in the assassins vs templar war the gameplay didn 't really changed as you 're still running and parcouring around in third -person. climbing up on lookouts to reveal the map collecting stuff like chests and animus fragments doing assassination missions and following the main quest about a mysterious observatorium so far everything as usual the one big thing which changed or was rather heavily extended is the ship you are sailing with already introduced in ac3 you 're also getting your own ship this time (of course what would a pirate be without a ship the 'jackdaw'. with said ship you 're spending a lot of time travelling through the caribbean sea hunting down whales and sharks exploring sunken ships and underwater caverns battling other ships and boarding them to get gold and ressources in order to upgrade the jackdaw (eg. more cannons reinforced hull different looking steering wheels or sails in my opinion the part where you are sailing around and enjoying the dynamic day and night cycle checking for profitable ships to hunt down or just enjoying the waves on the sea is the best part of the game the sea shanties (your crew will sing along on the open sea are also great for the atmosphere and pretty entertaining (i found myself singing along with them :d the story itself feels a bit bland and is starting off pretty boring in my opinion but it gets better throughout the missions and there are quite some interesting and likable characters which improves the story after the beginning the graphic is pretty good nothing groundbreaking but very atmospheric and it can create some beautiful moments especially with the day and night cycles the world itself is also quite big with enough places to visit and roam around to fill hours and hours of gametime if you don 't like collecting stuff or repetitive missions /ship battles then you might be bored after a while even though the ship battles feel quite dynamic at some point it 's still quite the same (especially if you upgraded your ship and you 're more powerful overall i found it to be a 'different' assassin 's creed title as i had the feeling that component wasn 't overly present i had much more fun sailing around and exploring than following the main mission but i think that 's also pretty subjective it 's still a very good game and i would recommend it to anyone liking the ac titles and /or good action -adventures, especially with a very good pirate -flair. now drink up me hearties and get back aboard treasures are waiting arrrr"
"['graphics/art style', 'gameplay', 'audio', 'music', 'pc requirements', 'difficulity', 'grind', 'story', 'game time', 'replayability', 'bugs', 'worth paying for']",---{graphics/art style  it 's the matrix  beautiful  meh  paint .exe  it looks like that one rambo game everyone forgot about ---{gameplay}---  fantastic  good  meh  having just the base controls doesn 't count as gameplay  staring at walls is better ---{audio}---  audiophile 's wet dream  good  meh  early 1990 's tv static sounds better  crickets ---{music}---  mick gordon 's music or equivalent  good  meh  it 's not winning any awards  nickelback level of quality ---{pc requirements  check if you can run minesweeper  potato  decent  ask nasa if they have a spare computer  better go buy a bitcoin miner ---{difficulity}---  just press 'a'  significant brain usage  easy to learn / hard to master  don 't play if you have anger issues  vvvvvv permadeath ---{grind}---  nothing to grind  isn 't necessary to progress  average grind level  too much grind  2017 battlefront ii ---{story}---  immersive you could live in this world  has depth and character development  meh  something is better than nothing i suppose  about as good as the plot of the new star wars movies ---{game time  long enough for a cup of coffee  short  average  long  the fun never ends (open world /sandbox/multiplayer only ---{replayability}---  not applicable  don 't bother playing it at all  once is fine maybe twice for collectibles  worth playing every year or so  multiple endings  yes it 's just that good ---{bugs}---  never heard of any  minor issues  can get annoying but not game breaking  was this game made by bethesda  hl2 .exe has stopped working ---{worth paying for  it 's free  worth every penny  wait for a sale  if you have some spare money left  not recommended  you could also just burn your money black flag is the assassin 's creed game that should have never been despite this it is one of the most successful games in the franchise and inspired a spin -off game that is due to come out later this year take to the seas pillaging and killing and may your enemies quake at the sight of your black flag
['no topic'],in a world without gold we might have been heroes
"['pirate theme', 'uplay', 'series', 'music']",i drunkenly purchased this last night waking up the next day i remembered how much fun i had back on the xbox 360 thanks drunken me for buying me this gem of a game now who wants to sing some sea shanties
"['character', 'storyline']",other assassins creed games had cool protagonists aciv has a great protagonist other assassins creed games had great characters aciv has amazing characters other assassins creed games had sad stories aciv 's story mode made me cry twice 10 /10 would play again edit played again still 10 /10 would still play again
"['character', 'storyline', 'series', 'pirate theme', 'animals']",pros second coolest ac character second best ac story best ac setting best pirate game ever cons i hate diving under the sea i hate electric eel i hate sharks
['no topic'],7 years later still a fun game
"['pirate theme', 'assassin theme', 'music']",best pirate game maybe even go as far to say best assassin 's creed plus shanties i need not say more
['pirate theme'],i really love this game that being said when i play it it 's for the pirate portion not the assasin portion honestly i would buy other ubisoft games if they made them about pirates like this one
"['assassin theme', 'series']",in my opinion this game is the best assassin 's creed games edit i played this game like along time ago not only from steam
"['errors', 'uplay']",the game was fun until uplay deleted a 150 hour save game file uplay is a clunky unnecessary and poorly designed piece of software
"['storyline', 'pirate theme', 'exploration', 'movement']",i played this game over a month or two in early 2016 to have an escape to a pirate adventure it was one of my best gaming experiences ever as i was very invested in the plot and gameplay and i was up to have a rollicking good swashbuckle for an hour or two at a time you should get it now in 2020 for two reasons i think that the flow of the game now in the light of 'sea of thieves and looking back has advantages in the bigger more epic sea battles which you can also control more you also get slightly less freedom for more meaningful 'micro-worlds' on each island such as working through a plantation at night killing guards in silence until you reach the target not just a different island shape with the same content i 'd advise using the plot hand -in-hand with your sailing to drive your exploration of the islands sailing around collecting /unlocking sea shanties and then coming into port to do a mission old ac games always suffered from players fast travelling to missions once you got bored of the parkour this game solved that for me i often did missions to get the unlocks and cash needed to upgrade the ship and that then drove my way through the content lastly i didn 't mind the 'present day gameplay as i had no spoilers and was invested in the general ac games plot this isn 't too impactful as it can line up with your breaks but some other players don 't like it make sure you take breaks use the game to scratch that adventure itch rather than deep -dive. 56 hours and i had completed pretty much all the content averaged to an hour a day for two months i now look back with nothing but fond memories
"['no topic', 'series']","ubisoft has started removing single player games (yes, base games not just online dlc that customers bought from their library if you are thinking about buying this game (and 'buy' is the plain wording on every steam store page be aware you may only be able to play it for the next 6 weeks before ubisoft removes it from your library ubisoft also thinks it is clever to put the game on promotion for new suckers just before removing the game ie ac liberation hd was on promotion price last week during the steam summer sale this week the store page says the game will no longer playable in 6 weeks time the steam store pages (links below for ac liberation hd and silent hunter 5 both have notices saying 'please note this title will not be accessible following september 1st 2022 even though you bought these single player games you will not be able to access them i am setting my review on every ubisoft game i own to negative if you think this practice is unacceptable please comment upvote the review or leave your own review https ://store.steampowered.com/app/260210/assassins_creed_liberation_hd/ https ://store.steampowered.com/app/48110/silent_hunter_5_battle_of_the_atlantic/"
"['storyline', 'character', 'movement', 'series', 'music']","easily one of the best games i 've played in a very long time it still follows a lot of the old school ubisoft assassin 's creed formulas in that you have to do a lot of following /tailing people (boo) and if you get seen even once the entire quest can fail not fun however you do feel awesome as edward kenway negatives 1 as a warning i played origins and odyssey first which colored my perception of some of the game 's mechanics i hated the way free running is done in this specific game quite often edward felt 'sticky' in that you couldn 't get him to just jump down or easily move to a different location it 's like 'edward, let go my boy let 's move along please stop sticking to the wall already 2 without any spoilers ...there are a couple of missions that nearly ruined my enjoyment one dealt with ship and stealthing at night another dealt with infiltrating an assassin island third were most of the tailing missions 3 slooooow moving and manuevering in the jackdaw which is an issue in some of the missions where waterspouts appear all over the place and you 're trying to attack a fort 4 no steam achievements 5 i usually love underwater sections in games these weren 't done as well as they could 've been 6 i 'm not a huge fan of the abstergo portions of the game i guess the story dealing with them was okay but it takes you out of the animus and breaks immersion positives 1 the story is really good you will probably love edward kenway he 's my favorite protagonist in the ac games so far 2 being a pirate is fun taking ships upgrading the jackdaw ...really enjoyable just sailing around on the ship is fun too 3 i love the sea shanties lots of people hated getting them but i had the full collection certain ones just stick out as some of the best music from any video game i 've played in a long time my crew would start singing 'leave her johnny and i 'd have to sit in place until they finished i had to hear it every single time they sang it eventually i 'd just sing along with the shanties ...and that 's not something most video games have ever inspired me to do while playing them 4 i genuinely liked the ship and trading minigame i know some people probably don 't, but it 's not required it 's just a little side thing that is pretty enjoyable 5 beautiful water graphics gorgeous scenery in other words if you haven 't played this game by now please give it a chance especially if you like ac games and love pirates it 's superb"
['assassin theme'],i let my target notice me he tried to follow me a crocodile ate him i am an assassin
"['storyline', 'graphics', 'optimization', 'music']","basic information  title: assassin 's creed iv black flag developer(s): ubisoft montreal publisher(s): ubisoft genre(s): action adventure historic open -world, stealth singleplayer: yes multiplayer: yes  numerical impression    overall */10   ai 7   atmosphere 9   gameplay 8   graphics 9   characters 7   optimization 6   originality 10   sound 10   soundtrack 10   story 8   ratings 84/100    general impression  overall assassins creed 4 black flag is something quite remarkable an exceptional game that came at a time where the assassins creed series according to the vocal minority was beginning to tread water fantastic mechanics and aesthetic design make this game a cut above the rest sailing around the high sea 's, my hud faded in the background the sound of sea spray splashing against the hull and my crew erupting into way me susiana is a truly remarkable experience that i among many others will never forget a must play"
"['series', 'exploration', 'optimization', 'combat', 'music', 'storyline', 'difficulty']",what a wonderful game i must admit i had skipped all the 'ac' hype in the past brushed it off as a younger -player's game i am 54 but alas ...i was wrong i am a huge fan of of the farcry series and the gameplay of ac4 is alot like that open a map slowly -revealing points of interest quests etc etc but what really shines in ac4 imo is the sea combat most not all of the sea combat is optional and game optimization .....wow! even on my 3 .5 year old rig the game played smooth and is beautiful literally ...beautiful; sailing at sea under a full moon listening to my men sing a sea chanty is a gaming moment so ...on to the bad stuff there has to be bad right no game is perfect 1 sword combat maybe its my age but i never got the whole sword -fighting thing apparently you can break defenses and such by hitting a certain key but i cannot get it to work smoke bombs are your friend trust me 2 there are some not many so far timed events that are a major pita it 's the you -must-do-x-then-y-then -move -here-x again argh why for the love of god fuck up a great game with this crap i assume it 's aimed for the younger -nimble-i-will-keep-playing-till-the-nachos-run-out crowd its not fun doing the same damned thing 20 times is not fun ..its work but that is rare and in a gem like this can be over -looked. rivscore as of 3 / 2 / 2018 91 / 100
"['storyline', 'graphics', 'optimization', 'frame rate', 'exploration', 'combat', 'entertainment value']","okay first off i want to say i love this game down to its core sure maybe it has bugs and frame rate problems but this is still one of my #1 most favorite game story amazing rich and emotional story though you are not tied to it and can go off and do whatever in the jackdaw gameplay this is where this game falls a bit you constantly jump and climb on things you didnt want to though overall it 's okay graphics when you are looking at moutains ect in the distance they somtimes flash back and fourth and also textures take awhile to load in though other then that the lighting weather ,water and textures are up at the top for this generation open world perfect if you want to go to a bar and recruit some crew to then go and invade a hideout and look the treausre to then upgrade your ship overall i give open world 10 /10 overall i would give this game a 9 /10 for its perfect story and amazing open world i would recommend this to anyone who has a mildy good pc or any consel who wants hours and hours of good open world fun -blockbyblock"
['series'],the best assassin 's creed game is a game where you spend 90 of the game not being an assassin ubisoft finally got it right
"['series', 'storyline', 'graphics']",i 'm a fan of the series for many years and i love this series of games assassin 's creed iv black flag a very worthy continuation of the series perhaps even the best game of the series after the assassin 's creed 2 great game with a nice storyline nice graphics and gameplay very good game guys i advise everyone to play it
"['storyline', 'graphics', 'pirate theme', 'combat', 'exploration', 'stealth', 'movement', 'series']","my first impressions : assassin's creed iv black flag is one of the coolest games in the series in my opinion . 'although when i first started playing it i thought it was crazy sucks :d' this game has a lot of amazing locations different animals and a great atmosphere  a little about the game : i was pleased with the plot at least something from game to game does not change the story is great and it 's interesting to see how it ends i was pleased with the graphics and of course the sea with ships and boardings the whole gameplay somehow reminded me of far cry 3 (skinning, pumping   merits and flaws   addictive plot exits to the sea and battle with ships this is new for assassin 's creed pirate theme with rum and robberies the same type of tasks on land (follow and eavesdrop the most primitive stealth : you can pick at someone else 's pocket for at least half an hour and go unnoticed ground gameplay : no innovation is felt and when passing the previous parts everything will be on the machine one of the dumbest ais doesn 't color the game at all they don 't hear anything and they don 't always see well the combat system is still one -button.  a hackneyed topic about the templars and the assassins which has already been seen and heard a hundred times (more my nitpick than a flaw ).   i recommend the game for purchase just one of the best parts in my opinion assassin 's creed iv black flag should have been made as a separate game about pirates"
"['pirate theme', 'storyline', 'optimization']",pros +great protagonist +great story +great soundtrack +you can have your own ship with lots of customization +every character is memorable even just the random sailors on your ship who sing +very large and detailed playable areas +despite that it works on my potato computer cons -the ships you take can 't accompany you they can only be used in the optional overworld missions -i ran out of rum while playing the game
"['series', 'pirate theme']",this is possible the best game in this game franchise since ac2 and it 's a really a good pirate game too recommended to all assassin 's creed fans out there and those who want to give this franchise a try enjoy
"['storyline', 'music']",this game saved my life . i am 28 my ex -wife and i have a daughter together and adopted our son together they are now both 4 years old when we were going through our separation i found myself lost and miserable i was self destructive i got so mad one day from everything spiraling out of my control that i punched some concrete in a moment of overwhelming emotion that caused me to break my 5th metacarpal in my right hand my working hand my games hand the hand that i held and carried my children to bed with the hand i desperately needed to make sure i could continue to provide after learning of the severity of my self -inflicted damage i was borderline suicidal keep in mind that just a few months before this i was the happiest man with no history of depression or anxiety i have never had fits of rage or been one to break down and cry but i was in a low spot that just really buried me from being able to see the light on the other side having nothing better to do i searched for a game i could play one handed while i recovered i somehow stumbled upon this game and read some of the reviews i decided that it had to be worth a shot i must admit i didn 't beat the game or play nearly as long as some of you in fact i may have only played this game a day or two with that being said after doing so i had a new found joy and hope for life i was able to put behind me the pain and suffering that had been cast over me i was able to experience other peoples joy and happiness i was able to see the fruits of my 'labor'. i relaxed for 5  minutes to this music long enough to realize that i was going to be okay after coming to that realization i turned the game off and i went back to work it hurt my hand like hell but i was motivated i stopped feeling so damn sorry for myself and i became the father i needed to be in that moment not the weak boy i was behaving as today i am close friend with my kids mother we don 't fight or argue or say hurtful things to each other we are parents and friends i now have 3 kids my third child is wait for it also 4 years old the woman i am with was going through a very similar situation at the time of my own separation and we just stumbled in to each others life unexpectedly we have been in a relationship for a year now and are very happy together moral of the story you never know what life holds in store for you and if i would have given up when all the odds were stacked against me i wouldn 't be where i am today this silly little game helped me realize that thank you
['no topic'],you've played for 433 hours would you like to recommend this game to other players dear steam you said it i 've played for 433 hours ...any other stupid questions
